"","OCCSOC","Soc_last1","Soc_last2","Soc_last3"
"386","49-3050","49-3050","49-3000","49-3000"
"387","51-8090","51-8090","51-8000","51-8000"
"388","19-2041","19-2040","19-2000","19-2000"
"389","53-4031","53-4030","53-4000","53-4000"
"390","53-4010","53-4010","53-4000","53-4000"
"391","33-9093","33-9090","33-9000","33-9000"
"392","39-3031","39-3030","39-3000","39-3000"
"393","53-6051","53-6050","53-6000","53-6000"
"394","27-2011","27-2010","27-2000","27-2000"
"395","19-4010","19-4010","19-4000","19-4000"
"396","39-4031","39-4030","39-4000","39-4000"
"397","25-4031","25-4030","25-4000","25-4000"
"398","43-3061","43-3060","43-3000","43-3000"
"399","53-50XX","53-50X0","53-5000","53-5000"
"400","51-4033","51-4030","51-4000","51-4000"
"401","19-3051","19-3050","19-3000","19-3000"
"402","53-2020","53-2020","53-2000","53-2000"
"403","49-2097","49-2090","49-2000","49-2000"
"404","27-2099","27-2090","27-2000","27-2000"
"405","53-60XX","53-60X0","53-6000","53-6000"
"406","15-2011","15-2010","15-2000","15-2000"
"407","51-40XX","51-40X0","51-4000","51-4000"
"408","27-2021","27-2020","27-2000","27-2000"
"409","41-9010","41-9010","41-9000","41-9000"
"410","43-4041","43-4040","43-4000","43-4000"
"411","49-9031","49-9030","49-9000","49-9000"
"412","33-9094","33-9090","33-9000","33-9000"
"413","13-2041","13-2040","13-2000","13-2000"
"414","33-1011","33-1010","33-1000","33-1000"
"415","43-9022","43-9020","43-9000","43-9000"
"416","43-9071","43-9070","43-9000","43-9000"
"417","17-1020","17-1020","17-1000","17-1000"
"418","31-9095","31-9090","31-9000","31-9000"
"419","19-3011","19-3010","19-3000","19-3000"
"420","21-1023","21-1020","21-1000","21-1000"
"421","21-1013","21-1010","21-1000","21-1000"
"422","45-3031","45-3030","45-3000","45-3000"
"423","17-2081","17-2080","17-2000","17-2000"
"424","17-1012","17-1010","17-1000","17-1000"
"425","53-6061","53-6060","53-6000","53-6000"
"426","29-203X","29-2030","29-2000","29-2000"
"427","43-9111","43-9110","43-9100","43-9000"
"428","49-209X","49-2090","49-2000","49-2000"
"429","19-1010","19-1010","19-1000","19-1000"
"430","41-9041","41-9040","41-9000","41-9000"
"431","27-1022","27-1020","27-1000","27-1000"
"432","17-21XX","17-21X0","17-2100","17-2000"
"433","19-4021","19-4020","19-4000","19-4000"
"434","47-4031","47-4030","47-4000","47-4000"
"435","53-7063","53-7060","53-7000","53-7000"
"436","47-4021","47-4020","47-4000","47-4000"
"437","27-3092","27-3090","27-3000","27-3000"
"438","11-9121","11-9120","11-9100","11-9000"
"439","49-9091","49-9090","49-9000","49-9000"
"440","27-1026","27-1020","27-1000","27-1000"
"441","51-70XX","51-70X0","51-7000","51-7000"
"442","47-5020","47-5020","47-5000","47-5000"
