"","SocCode","Soc_last1","Soc_last2","Soc_last3"
"376","29-2081","29-2080","29-2000","29-2000"
"377","29-2091","29-2090","29-2000","29-2000"
"378","29-2092","29-2090","29-2000","29-2000"
"379","29-2099","29-2090","29-2000","29-2000"
"380","29-9021","29-9020","29-9000","29-9000"
"381","29-9091","29-9090","29-9000","29-9000"
"382","29-9092","29-9090","29-9000","29-9000"
"383","29-9093","29-9090","29-9000","29-9000"
"384","29-9099","29-9090","29-9000","29-9000"
"385","31-1121","31-1120","31-1100","31-1000"
"386","31-1122","31-1120","31-1100","31-1000"
"387","31-1131","31-1130","31-1100","31-1000"
"388","31-1132","31-1130","31-1100","31-1000"
"389","31-1133","31-1130","31-1100","31-1000"
"390","31-2011","31-2010","31-2000","31-2000"
"391","31-2012","31-2010","31-2000","31-2000"
"392","31-2021","31-2020","31-2000","31-2000"
"393","31-2022","31-2020","31-2000","31-2000"
"394","31-9011","31-9010","31-9000","31-9000"
"395","31-9091","31-9090","31-9000","31-9000"
"396","31-9092","31-9090","31-9000","31-9000"
"397","31-9093","31-9090","31-9000","31-9000"
"398","31-9094","31-9090","31-9000","31-9000"
"399","31-9095","31-9090","31-9000","31-9000"
"400","31-9096","31-9090","31-9000","31-9000"
"401","31-9097","31-9090","31-9000","31-9000"
"402","31-9099","31-9090","31-9000","31-9000"
"403","33-1011","33-1010","33-1000","33-1000"
"404","33-1012","33-1010","33-1000","33-1000"
"405","33-1021","33-1020","33-1000","33-1000"
"406","33-1091","33-1090","33-1000","33-1000"
"407","33-1099","33-1090","33-1000","33-1000"
"408","33-2011","33-2010","33-2000","33-2000"
"409","33-2021","33-2020","33-2000","33-2000"
"410","33-2022","33-2020","33-2000","33-2000"
"411","33-3011","33-3010","33-3000","33-3000"
"412","33-3012","33-3010","33-3000","33-3000"
"413","33-3021","33-3020","33-3000","33-3000"
"414","33-3031","33-3030","33-3000","33-3000"
"415","33-3041","33-3040","33-3000","33-3000"
"416","33-3051","33-3050","33-3000","33-3000"
"417","33-3052","33-3050","33-3000","33-3000"
"418","33-9011","33-9010","33-9000","33-9000"
"419","33-9021","33-9020","33-9000","33-9000"
"420","33-9031","33-9030","33-9000","33-9000"
"421","33-9032","33-9030","33-9000","33-9000"
"422","33-9091","33-9090","33-9000","33-9000"
"423","33-9092","33-9090","33-9000","33-9000"
"424","33-9093","33-9090","33-9000","33-9000"
"425","33-9094","33-9090","33-9000","33-9000"
"426","33-9099","33-9090","33-9000","33-9000"
"427","35-1011","35-1010","35-1000","35-1000"
"428","35-1012","35-1010","35-1000","35-1000"
"429","35-2011","35-2010","35-2000","35-2000"
"430","35-2012","35-2010","35-2000","35-2000"
"431","35-2013","35-2010","35-2000","35-2000"
"432","35-2014","35-2010","35-2000","35-2000"
"433","35-2015","35-2010","35-2000","35-2000"
"434","35-2019","35-2010","35-2000","35-2000"
"435","35-2021","35-2020","35-2000","35-2000"
"436","35-3011","35-3010","35-3000","35-3000"
"437","35-3023","35-3020","35-3000","35-3000"
"438","35-3031","35-3030","35-3000","35-3000"
"439","35-3041","35-3040","35-3000","35-3000"
"440","35-9011","35-9010","35-9000","35-9000"
"441","35-9021","35-9020","35-9000","35-9000"
"442","35-9031","35-9030","35-9000","35-9000"
"443","35-9099","35-9090","35-9000","35-9000"
"444","37-1011","37-1010","37-1000","37-1000"
"445","37-1012","37-1010","37-1000","37-1000"
"446","37-2011","37-2010","37-2000","37-2000"
"447","37-2012","37-2010","37-2000","37-2000"
"448","37-2019","37-2010","37-2000","37-2000"
"449","37-2021","37-2020","37-2000","37-2000"
"450","37-3011","37-3010","37-3000","37-3000"
"451","37-3012","37-3010","37-3000","37-3000"
"452","37-3013","37-3010","37-3000","37-3000"
"453","37-3019","37-3010","37-3000","37-3000"
"454","39-1013","39-1010","39-1000","39-1000"
"455","39-1014","39-1010","39-1000","39-1000"
"456","39-1022","39-1020","39-1000","39-1000"
"457","39-2011","39-2010","39-2000","39-2000"
"458","39-2021","39-2020","39-2000","39-2000"
"459","39-3011","39-3010","39-3000","39-3000"
"460","39-3012","39-3010","39-3000","39-3000"
"461","39-3019","39-3010","39-3000","39-3000"
"462","39-3021","39-3020","39-3000","39-3000"
"463","39-3031","39-3030","39-3000","39-3000"
"464","39-3091","39-3090","39-3000","39-3000"
"465","39-3092","39-3090","39-3000","39-3000"
"466","39-3093","39-3090","39-3000","39-3000"
"467","39-3099","39-3090","39-3000","39-3000"
"468","39-4011","39-4010","39-4000","39-4000"
"469","39-4012","39-4010","39-4000","39-4000"
"470","39-4021","39-4020","39-4000","39-4000"
"471","39-4031","39-4030","39-4000","39-4000"
"472","39-5011","39-5010","39-5000","39-5000"
"473","39-5012","39-5010","39-5000","39-5000"
"474","39-5091","39-5090","39-5000","39-5000"
"475","39-5092","39-5090","39-5000","39-5000"
"476","39-5093","39-5090","39-5000","39-5000"
"477","39-5094","39-5090","39-5000","39-5000"
"478","39-6011","39-6010","39-6000","39-6000"
"479","39-6012","39-6010","39-6000","39-6000"
"480","39-7011","39-7010","39-7000","39-7000"
"481","39-7012","39-7010","39-7000","39-7000"
"482","39-9011","39-9010","39-9000","39-9000"
"483","39-9031","39-9030","39-9000","39-9000"
"484","39-9032","39-9030","39-9000","39-9000"
"485","39-9041","39-9040","39-9000","39-9000"
"486","39-9099","39-9090","39-9000","39-9000"
"487","41-1011","41-1010","41-1000","41-1000"
"488","41-1012","41-1010","41-1000","41-1000"
"489","41-2011","41-2010","41-2000","41-2000"
"490","41-2012","41-2010","41-2000","41-2000"
"491","41-2021","41-2020","41-2000","41-2000"
"492","41-2022","41-2020","41-2000","41-2000"
"493","41-2031","41-2030","41-2000","41-2000"
"494","41-3011","41-3010","41-3000","41-3000"
"495","41-3021","41-3020","41-3000","41-3000"
"496","41-3031","41-3030","41-3000","41-3000"
"497","41-3041","41-3040","41-3000","41-3000"
"498","41-3091","41-3090","41-3000","41-3000"
"499","41-4011","41-4010","41-4000","41-4000"
"500","41-4012","41-4010","41-4000","41-4000"
"501","41-9011","41-9010","41-9000","41-9000"
"502","41-9012","41-9010","41-9000","41-9000"
"503","41-9021","41-9020","41-9000","41-9000"
"504","41-9022","41-9020","41-9000","41-9000"
"505","41-9031","41-9030","41-9000","41-9000"
"506","41-9041","41-9040","41-9000","41-9000"
"507","41-9091","41-9090","41-9000","41-9000"
"508","41-9099","41-9090","41-9000","41-9000"
"509","43-1011","43-1010","43-1000","43-1000"
"510","43-2011","43-2010","43-2000","43-2000"
"511","43-2021","43-2020","43-2000","43-2000"
"512","43-2099","43-2090","43-2000","43-2000"
"513","43-3011","43-3010","43-3000","43-3000"
"514","43-3021","43-3020","43-3000","43-3000"
"515","43-3031","43-3030","43-3000","43-3000"
"516","43-3041","43-3040","43-3000","43-3000"
"517","43-3051","43-3050","43-3000","43-3000"
"518","43-3061","43-3060","43-3000","43-3000"
"519","43-3071","43-3070","43-3000","43-3000"
"520","43-3099","43-3090","43-3000","43-3000"
"521","43-4011","43-4010","43-4000","43-4000"
"522","43-4021","43-4020","43-4000","43-4000"
"523","43-4031","43-4030","43-4000","43-4000"
"524","43-4041","43-4040","43-4000","43-4000"
"525","43-4051","43-4050","43-4000","43-4000"
"526","43-4061","43-4060","43-4000","43-4000"
"527","43-4071","43-4070","43-4000","43-4000"
"528","43-4081","43-4080","43-4000","43-4000"
"529","43-4111","43-4110","43-4100","43-4000"
"530","43-4121","43-4120","43-4100","43-4000"
"531","43-4131","43-4130","43-4100","43-4000"
"532","43-4141","43-4140","43-4100","43-4000"
"533","43-4151","43-4150","43-4100","43-4000"
"534","43-4161","43-4160","43-4100","43-4000"
"535","43-4171","43-4170","43-4100","43-4000"
"536","43-4181","43-4180","43-4100","43-4000"
"537","43-4199","43-4190","43-4100","43-4000"
"538","43-5011","43-5010","43-5000","43-5000"
"539","43-5021","43-5020","43-5000","43-5000"
"540","43-5031","43-5030","43-5000","43-5000"
"541","43-5032","43-5030","43-5000","43-5000"
"542","43-5041","43-5040","43-5000","43-5000"
"543","43-5051","43-5050","43-5000","43-5000"
"544","43-5052","43-5050","43-5000","43-5000"
"545","43-5053","43-5050","43-5000","43-5000"
"546","43-5061","43-5060","43-5000","43-5000"
"547","43-5071","43-5070","43-5000","43-5000"
"548","43-5111","43-5110","43-5100","43-5000"
"549","43-6011","43-6010","43-6000","43-6000"
"550","43-6012","43-6010","43-6000","43-6000"
"551","43-6013","43-6010","43-6000","43-6000"
"552","43-6014","43-6010","43-6000","43-6000"
"553","43-9021","43-9020","43-9000","43-9000"
"554","43-9022","43-9020","43-9000","43-9000"
"555","43-9031","43-9030","43-9000","43-9000"
"556","43-9041","43-9040","43-9000","43-9000"
"557","43-9051","43-9050","43-9000","43-9000"
"558","43-9061","43-9060","43-9000","43-9000"
"559","43-9071","43-9070","43-9000","43-9000"
"560","43-9081","43-9080","43-9000","43-9000"
"561","43-9111","43-9110","43-9100","43-9000"
"562","43-9199","43-9190","43-9100","43-9000"
"563","45-1011","45-1010","45-1000","45-1000"
"564","45-2011","45-2010","45-2000","45-2000"
"565","45-2021","45-2020","45-2000","45-2000"
"566","45-2041","45-2040","45-2000","45-2000"
"567","45-2091","45-2090","45-2000","45-2000"
"568","45-2092","45-2090","45-2000","45-2000"
"569","45-2093","45-2090","45-2000","45-2000"
"570","45-2099","45-2090","45-2000","45-2000"
"571","45-3031","45-3030","45-3000","45-3000"
"572","45-4011","45-4010","45-4000","45-4000"
"573","45-4021","45-4020","45-4000","45-4000"
"574","45-4022","45-4020","45-4000","45-4000"
"575","45-4023","45-4020","45-4000","45-4000"
"576","45-4029","45-4020","45-4000","45-4000"
"577","47-1011","47-1010","47-1000","47-1000"
"578","47-2011","47-2010","47-2000","47-2000"
