"","SocCode","n","SOC Broad Occupation","SOC Minor Occupation","OCCSOC","ACS_occupation"
"291","47-2221",533,"47-2220","47-2000","47-2221","47-2221"
"292","47-2231",533,"47-2230","47-2000","47-2231","47-2231"
"293","47-4011",533,"47-4010","47-4000","47-4011","47-4011"
"294","47-4021",533,"47-4020","47-4000","47-4021","47-4021"
"295","47-4031",533,"47-4030","47-4000","47-4031","47-4031"
"296","47-4041",533,"47-4040","47-4000","47-4041","47-4041"
"297","47-4051",533,"47-4050","47-4000","47-4051","47-4051"
"298","47-4061",533,"47-4060","47-4000","47-4061","47-4061"
"299","47-5032",533,"47-5030","47-5000","47-5032","47-5032"
"300","49-1011",533,"49-1010","49-1000","49-1011","49-1011"
"301","49-2011",533,"49-2010","49-2000","49-2011","49-2011"
"302","49-2091",533,"49-2090","49-2000","49-2091","49-2091"
"303","49-2092",533,"49-2090","49-2000","49-2092","49-2092"
"304","49-2097",533,"49-2090","49-2000","49-2097","49-2097"
"305","49-2098",533,"49-2090","49-2000","49-2098","49-2098"
"306","49-3011",533,"49-3010","49-3000","49-3011","49-3011"
"307","49-3021",533,"49-3020","49-3000","49-3021","49-3021"
"308","49-3022",533,"49-3020","49-3000","49-3022","49-3022"
"309","49-3023",533,"49-3020","49-3000","49-3023","49-3023"
"310","49-3031",533,"49-3030","49-3000","49-3031","49-3031"
"311","49-9021",533,"49-9020","49-9000","49-9021","49-9021"
"312","49-9031",533,"49-9030","49-9000","49-9031","49-9031"
"313","49-9043",533,"49-9040","49-9000","49-9043","49-9043"
"314","49-9044",533,"49-9040","49-9000","49-9044","49-9044"
"315","49-9051",533,"49-9050","49-9000","49-9051","49-9051"
"316","49-9052",533,"49-9050","49-9000","49-9052","49-9052"
"317","49-9071",533,"49-9070","49-9000","49-9071","49-9071"
"318","49-9091",533,"49-9090","49-9000","49-9091","49-9091"
"319","49-9094",533,"49-9090","49-9000","49-9094","49-9094"
"320","49-9096",533,"49-9090","49-9000","49-9096","49-9096"
"321","49-9098",533,"49-9090","49-9000","49-9098","49-9098"
"322","51-1011",533,"51-1010","51-1000","51-1011","51-1011"
"323","51-2031",533,"51-2030","51-2000","51-2031","51-2031"
"324","51-2041",533,"51-2040","51-2000","51-2041","51-2041"
"325","51-3011",533,"51-3010","51-3000","51-3011","51-3011"
"326","51-3091",533,"51-3090","51-3000","51-3091","51-3091"
"327","51-3092",533,"51-3090","51-3000","51-3092","51-3092"
"328","51-3093",533,"51-3090","51-3000","51-3093","51-3093"
"329","51-3099",533,"51-3090","51-3000","51-3099","51-3099"
"330","51-4031",533,"51-4030","51-4000","51-4031","51-4031"
"331","51-4033",533,"51-4030","51-4000","51-4033","51-4033"
"332","51-4041",533,"51-4040","51-4000","51-4041","51-4041"
"333","51-4111",533,"51-4110","51-4000","51-4111","51-4111"
"334","51-5111",533,"51-5110","51-5000","51-5111","51-5111"
"335","51-5112",533,"51-5110","51-5000","51-5112","51-5112"
"336","51-5113",533,"51-5110","51-5000","51-5113","51-5113"
"337","51-6011",533,"51-6010","51-6000","51-6011","51-6011"
"338","51-6021",533,"51-6020","51-6000","51-6021","51-6021"
"339","51-6031",533,"51-6030","51-6000","51-6031","51-6031"
"340","51-6093",533,"51-6090","51-6000","51-6093","51-6093"
"341","51-7011",533,"51-7010","51-7000","51-7011","51-7011"
"342","51-7021",533,"51-7020","51-7000","51-7021","51-7021"
"343","51-7041",533,"51-7040","51-7000","51-7041","51-7041"
"344","51-7042",533,"51-7040","51-7000","51-7042","51-7042"
"345","51-8021",533,"51-8020","51-8000","51-8021","51-8021"
"346","51-8031",533,"51-8030","51-8000","51-8031","51-8031"
"347","51-9041",533,"51-9040","51-9000","51-9041","51-9041"
"348","51-9051",533,"51-9050","51-9000","51-9051","51-9051"
"349","51-9061",533,"51-9060","51-9000","51-9061","51-9061"
